t,vram_mib,tokens
0.1,10085,0
1.2,10085,0
2.4,10085,0
3.5,3429,0
4.6,5011,0
5.6,9271,0
6.7,10103,0
7.7,10103,0
8.8,10103,0
9.9,10103,0
11.0,10103,0
12.1,10103,0
13.1,10103,0
14.2,10103,0
15.3,10103,0
16.4,10103,0
17.4,10103,0
18.5,10103,0
19.6,10103,0
20.7,10103,0
21.8,10103,0
22.9,10103,0
24.0,10103,0
25.0,10103,0
26.1,10103,0
27.2,10103,0
28.3,10103,0
29.4,10103,0
30.4,10103,0
31.5,10103,0
32.6,10103,0
33.7,10103,0
34.8,10103,0
35.8,10103,0
36.9,10103,0
38.0,10103,3500
39.0,10103,3500
40.1,10103,3500
41.2,10103,3500
42.2,10103,3500
43.3,10103,3500
44.4,10103,3500
45.4,10103,3500
46.5,10103,3500
47.6,10103,3500
48.7,10103,3500
49.7,10103,3500
50.8,10103,3500
51.9,10103,3500
52.9,10103,3500
54.0,10103,3500
55.1,10103,3500
56.2,10103,3500
57.3,10103,3500
58.4,10103,3500
59.4,10103,3500
60.5,10103,3500
61.6,10103,3500
62.6,10103,3500
63.7,10103,3500
64.8,10103,3500
65.9,10103,3500
66.9,10103,3500
68.0,10103,3500
69.1,10103,3500
70.1,10103,3500
71.2,10103,3500
72.3,10103,3500
73.4,10103,3500
74.5,10103,3500
75.5,10103,3500
76.6,10103,3500
77.7,10103,3500
78.8,10103,3500
79.8,10103,3500
80.9,10103,3500
81.9,10103,3500
83.0,10103,3500
84.1,10103,3500
85.1,10103,3500
86.2,10103,3500
87.3,10103,3500
88.4,10103,3500
89.4,10103,3500
90.5,10103,3500
91.6,10103,3500
92.7,10103,3500
93.7,10103,3500
94.8,10103,3500
95.8,10103,3500
96.9,10103,3500
98.0,10103,3500
99.0,10103,3500
100.1,10103,3500
101.1,10103,3500
102.2,10103,3500
103.3,10103,3500
104.3,10103,3500
105.4,10103,3500
106.5,10103,3500
107.6,10103,3500
108.7,10103,3500
109.7,10103,3500
110.8,10103,3500
111.9,10103,3500
113.0,10103,3500
114.0,10103,3500
115.1,10103,3500
116.1,10103,3500
117.2,10103,3500
118.3,10103,3500
119.3,10103,3500
120.4,10103,3500
121.5,10103,3500
122.6,10103,3500
123.7,10103,3500
124.7,10103,3500
125.8,10103,3500
126.9,10103,3500
128.0,10103,3500
129.0,10103,3500
130.1,10103,3500
131.2,10103,3500
132.2,10103,3500
133.3,10103,3500
134.3,10103,3500
135.4,10103,3500
136.4,10103,3500
137.5,10103,3500
138.6,10103,3500
139.6,10103,3500
140.7,10103,3500
141.8,10103,3500
142.8,10103,3500
143.9,10103,3500
144.9,10103,3500
146.0,10103,3500
147.1,10103,3500
148.1,10103,3500
149.2,10103,3500
150.3,10103,3500
151.3,10103,3500
152.4,10103,3500
153.4,10103,3500
154.5,10103,3500
155.5,10103,3500
156.6,10103,3500
157.7,10103,3500
158.7,10103,3500
159.8,10103,3500
160.9,10103,3500
162.0,10103,3500
163.0,10103,3500
164.1,10103,3500
165.1,10103,3500
166.2,10103,3500
167.3,10103,3500
168.4,10103,3500
169.5,10103,3500
170.5,10103,3500
171.5,10103,3500
172.6,10103,3500
173.7,10103,3500
174.7,10103,3500
175.8,10103,3500
176.9,10103,3500
178.0,10103,3500
179.0,10103,3500
