t,vram_mib,tokens
0.1,5429,0
1.1,5429,0
2.2,5429,0
3.3,2599,0
4.4,4061,0
5.5,5447,0
6.5,5447,0
7.5,5447,0
8.6,5447,0
9.6,5447,0
10.7,5447,0
11.8,5447,0
12.9,5447,0
14.0,5447,0
15.0,5447,0
16.1,5447,0
17.1,5447,0
18.2,5447,0
19.3,5447,0
20.3,5447,0
21.4,5447,0
22.5,5447,0
23.6,5447,0
24.6,5447,0
25.7,5447,0
26.7,5447,0
27.8,5447,0
28.9,5447,0
29.9,5447,0
31.0,5447,0
32.0,5447,0
33.1,5447,0
34.2,5447,0
35.2,5447,0
36.3,5447,0
37.3,5447,0
38.4,5447,0
39.5,5447,0
40.5,5447,0
41.6,5447,0
42.7,5447,0
43.7,5447,0
44.8,5447,0
45.9,5447,0
47.0,5447,0
48.0,5447,0
49.1,5447,0
50.2,5447,0
51.2,5447,0
52.3,5447,0
53.4,5447,0
54.4,5447,0
55.5,5447,0
56.6,5447,0
57.6,5447,0
58.7,5447,0
59.8,5447,0
60.9,5447,0
62.0,5447,0
63.0,5447,0
64.1,5447,0
65.2,5447,0
66.3,5447,0
67.4,5447,0
68.4,5447,0
69.5,5447,0
70.6,5447,0
71.7,5447,0
72.7,5447,0
73.8,5447,2344
74.9,5447,2344
76.0,5447,2344
77.1,5447,2344
78.1,5447,2344
79.2,5447,2344
80.3,5447,2344
81.4,5447,2344
82.4,5447,2344
83.5,5447,2344
84.6,5447,2344
85.6,5447,2344
86.7,5447,2344
87.8,5447,2344
88.9,5447,2344
89.9,5447,2344
91.0,5447,2344
92.1,5447,2344
93.1,5447,2344
94.2,5447,2344
95.3,5447,2344
96.4,5447,2344
97.4,5447,2344
98.5,5447,2344
99.6,5447,2344
100.7,5447,2344
101.7,5447,2344
102.8,5447,2344
103.9,5447,2344
104.9,5447,2344
106.0,5447,2344
107.1,5447,2344
108.1,5447,2344
109.2,5447,2344
110.3,5447,2344
111.4,5447,2344
112.4,5447,2344
113.5,5447,2344
114.5,5447,2344
115.6,5447,2344
116.6,5447,2344
117.7,5447,2344
118.8,5447,2344
119.8,5447,2344
120.9,5447,2344
122.0,5447,2344
123.1,5447,2344
124.1,5447,2344
125.2,5447,2344
126.2,5447,2344
127.3,5447,2344
128.4,5447,2344
129.5,5447,2344
130.6,5447,2344
131.6,5447,2344
132.7,5447,2344
133.8,5447,2344
134.8,5447,2344
135.9,5447,2344
137.0,5447,2344
138.1,5447,2344
139.1,5447,2344
140.2,5447,2344
141.3,5447,2344
142.3,5447,2344
143.4,5447,2344
144.5,5447,2344
145.6,5447,2344
146.7,5447,2344
147.7,5447,2344
148.8,5447,2344
149.9,5447,2344
151.0,5447,2344
152.0,5447,2344
153.1,5447,2344
154.2,5447,2344
155.3,5447,2344
156.4,5447,2344
157.4,5447,2344
158.5,5447,2344
159.6,5447,2344
160.6,5447,2344
161.7,5447,2344
162.8,5447,2344
163.9,5447,2344
165.0,5447,2344
166.0,5447,2344
167.1,5447,2344
168.1,5447,2344
169.2,5447,2344
170.3,5447,2344
171.3,5447,2344
172.4,5447,2344
173.5,5447,2344
174.5,5447,2344
175.6,5447,2344
176.7,5447,2344
177.7,5447,2344
178.8,5447,2344
179.9,5447,2344
180.9,5447,2344
182.0,5447,2344
183.1,5447,2344
184.2,5447,2344
185.3,5447,2344
186.4,5447,2344
187.4,5447,2344
188.5,5447,2344
189.6,5447,2344
190.7,5447,2344
191.8,5447,2344
192.8,5447,2344
193.9,5447,2344
195.0,5447,2344
196.1,5447,2344
197.1,5447,2344
198.2,5447,2344
199.3,5447,2344
200.3,5447,2344
201.4,5447,2344
202.4,5447,2344
203.5,5447,2344
204.5,5447,2344
205.6,5447,2344
206.7,5447,2344
207.7,5447,2344
208.8,5447,2344
209.9,5447,2344
210.9,5447,2344
212.0,5447,2344
213.0,5447,2344
214.1,5447,2344
215.1,5447,2344
216.2,5447,2344
217.3,5447,2344
218.3,5447,2344
219.4,5447,2344
220.5,5447,2344
221.6,5447,2344
222.7,5447,2344
223.7,5447,2344
224.8,5447,2344
225.8,5447,2344
226.9,5447,2344
227.9,5447,2344
229.0,5447,2344
230.1,5447,2344
231.1,5447,2344
232.2,5447,2344
233.2,5447,2344
234.3,5447,2344
235.4,5447,2344
236.4,5447,2344
237.5,5447,2344
238.6,5447,2344
239.7,5447,2344
