t,vram_mib,tokens
0.1,3331,0
1.2,3331,0
2.3,3331,0
3.3,3361,0
4.4,3361,0
5.5,3361,0
6.6,3361,0
7.7,3361,0
8.7,3361,0
9.8,3361,0
10.9,3361,0
12.0,3361,0
13.1,3361,0
14.1,3361,0
15.2,3361,0
16.3,3361,0
17.4,3361,0
18.4,3361,0
19.5,3361,0
20.6,3361,0
21.7,3361,0
22.7,3361,0
23.8,3361,0
24.9,3361,0
26.0,3361,0
27.1,3361,0
28.1,3361,0
29.2,3361,0
30.3,3361,0
31.3,3361,0
32.4,3361,0
33.4,3361,0
34.5,3361,0
35.6,3361,0
36.7,3361,0
37.7,3361,0
38.8,3361,0
39.8,3361,0
40.9,3361,0
42.0,3361,0
43.1,3361,0
44.2,3361,0
45.2,3361,0
46.3,3361,0
47.4,3361,0
48.5,3361,0
49.6,3361,0
50.6,3361,0
51.7,3361,0
52.8,3361,0
53.9,3361,0
55.0,3361,0
56.1,3361,0
57.2,3361,0
58.3,3361,0
59.3,3361,0
60.4,3361,0
61.5,3361,0
62.6,3361,0
63.6,3361,0
64.7,3361,0
65.8,3361,0
66.9,3361,0
68.0,3361,0
69.1,3361,0
70.2,3361,0
71.3,3361,0
72.3,3361,0
73.4,3361,0
74.5,3361,0
75.6,3361,0
76.7,3361,0
77.7,3361,0
78.8,3361,0
79.9,3361,0
81.0,3361,0
82.1,3361,0
83.1,3361,0
84.2,3361,0
85.3,3361,0
86.4,3361,0
87.5,3361,0
88.6,3361,0
89.6,3361,0
90.7,3361,0
91.8,3361,0
92.9,3361,0
93.9,3361,0
95.0,3361,0
96.1,3361,0
97.2,3361,0
98.3,3361,0
99.4,3361,0
100.4,3361,0
101.5,3361,0
102.6,3361,0
103.7,3361,0
104.8,3361,0
105.8,3361,0
106.9,3361,0
108.0,3361,0
109.0,3361,0
110.1,3361,0
111.2,3361,0
112.3,3361,0
113.3,3361,0
114.4,3361,0
115.5,3361,0
116.6,3361,0
117.7,3361,0
118.7,3361,0
119.8,3361,0
120.9,3361,0
122.0,3361,0
123.0,3361,0
124.1,3361,0
125.1,3361,0
126.2,3361,0
127.3,3361,0
128.3,3361,0
129.4,3361,0
130.5,3361,0
131.6,3361,0
132.7,3361,0
133.8,3361,0
134.9,3361,0
135.9,3361,0
137.0,3361,0
138.1,3361,0
139.2,3361,0
140.2,3361,0
141.3,3361,0
142.4,3361,0
143.4,3361,0
144.5,3361,0
145.6,3361,0
146.7,3361,0
147.8,3361,0
148.9,3361,0
150.0,3361,0
151.1,3361,0
152.1,3361,0
153.2,3361,0
154.3,3361,0
155.4,3361,0
156.5,3361,0
157.5,3361,0
158.6,3361,0
159.7,3361,0
160.8,3361,0
161.9,3361,0
162.9,3361,0
163.9,3361,0
165.0,3361,0
166.1,3361,0
167.1,3361,0
168.2,3361,0
169.3,3361,0
170.4,3361,0
171.5,3361,0
172.5,3361,0
173.6,3361,0
174.7,3361,0
175.8,3361,0
176.9,3361,0
178.0,3361,0
179.1,3361,0
180.1,3361,0
181.2,3361,0
182.3,3361,0
183.3,3361,0
184.4,3361,0
185.4,3361,0
186.5,3361,0
187.6,3361,0
188.6,3361,0
189.7,3361,0
190.8,3361,0
191.8,3361,0
192.9,3361,0
194.0,3361,0
195.0,3361,0
196.1,3361,0
197.2,3361,0
198.3,3361,0
199.3,3361,0
200.4,3363,0
201.4,3363,0
202.5,3363,0
203.5,3363,0
204.6,3363,0
205.7,3363,0
206.7,3363,0
207.8,3363,0
208.9,3363,0
209.9,3363,0
211.0,3363,0
212.1,3363,0
213.1,3363,0
214.2,3363,0
215.3,3363,0
216.3,3363,0
217.4,3363,0
218.5,3363,0
219.6,3363,0
220.6,3363,0
221.7,3363,0
222.8,3363,0
223.9,3363,0
225.0,3363,0
226.1,3363,0
227.1,3363,0
228.2,3363,0
